entry_id,user_id,entry_date,entry_time,word_count,mood_before,mood_after,writing_duration_minutes,used_prompt,device_type,streak_at_entry
1,1,2026-03-19,Morning,351,3,4,14,True,iOS,1
2,1,2026-03-22,Afternoon,421,2,3,12,True,Android,1
3,1,2026-03-24,Morning,262,3,4,10,False,Android,1
4,1,2026-03-25,Evening,343,2,3,11,False,Android,2
5,1,2026-03-28,Morning,218,3,3,8,False,Android,1
6,1,2026-03-29,Morning,325,3,4,10,False,iOS,2
7,1,2026-04-10,Morning,256,2,3,8,True,Android,1
8,1,2026-04-11,Morning,308,2,3,8,True,iOS,2
9,1,2026-04-14,Morning,251,5,5,8,False,iOS,1
10,1,2026-04-16,Evening,276,3,3,9,True,Android,1
11,1,2026-04-23,Morning,365,1,3,14,False,Android,1
12,1,2026-04-24,Night,202,3,4,8,False,Android,2
13,1,2026-04-29,Morning,359,5,5,15,False,Android,1
14,1,2026-05-03,Night,313,2,3,11,False,Android,1
15,1,2026-05-04,Morning,263,3,3,10,False,iOS,2
16,1,2026-05-06,Afternoon,384,3,3,11,False,Android,1
17,1,2026-05-09,Evening,245,1,3,11,False,Android,1
18,1,2026-05-10,Evening,348,4,5,11,True,Android,2
19,1,2026-05-14,Evening,232,4,4,6,True,Web,1
20,1,2026-05-16,Evening,275,3,3,12,False,Android,1
21,1,2026-05-21,Afternoon,365,3,3,10,True,Web,1
22,1,2026-05-24,Morning,408,3,3,13,False,Web,1
23,1,2026-05-25,Afternoon,297,4,4,10,True,iOS,2
24,1,2026-05-27,Afternoon,425,3,3,18,False,Android,1
25,1,2026-05-30,Evening,307,1,2,9,False,Android,1
26,1,2026-05-31,Night,140,2,3,4,False,Android,2
27,1,2026-06-02,Morning,235,2,3,6,False,iOS,1
28,1,2026-06-03,Morning,259,4,4,7,True,iOS,2
29,1,2026-06-04,Night,307,4,4,9,False,Android,3
30,1,2026-06-05,Evening,377,4,4,16,True,Android,4
31,1,2026-06-11,Morning,323,2,3,14,False,Android,1
32,1,2026-06-16,Afternoon,320,3,4,12,False,Web,1
33,1,2026-06-17,Morning,287,2,3,9,False,Android,2
34,1,2026-06-18,Morning,332,4,4,9,False,Android,3
35,1,2026-06-21,Night,146,5,5,5,False,Web,1
36,1,2026-06-24,Afternoon,297,1,2,10,True,Android,1
37,1,2026-06-25,Afternoon,284,1,2,11,False,Android,2
38,2,2025-08-07,Morning,324,3,4,12,False,iOS,1
39,2,2025-08-10,Evening,363,3,4,13,False,Web,1
40,2,2025-08-11,Night,227,3,4,7,True,Android,2
41,2,2025-08-14,Morning,220,2,4,9,False,Android,1
42,2,2025-08-21,Evening,254,3,4,11,True,Android,1
43,2,2025-08-23,Afternoon,215,3,3,6,False,Android,1
44,2,2025-08-27,Morning,337,3,4,14,True,Web,1
45,2,2025-08-31,Evening,365,3,3,11,False,iOS,1
46,2,2025-09-03,Evening,201,3,4,7,True,iOS,1
47,2,2025-09-05,Morning,320,2,4,12,True,iOS,1
48,2,2025-09-06,Evening,362,3,4,10,False,Android,2
49,2,2025-09-08,Afternoon,245,4,5,10,False,iOS,1
50,2,2025-09-09,Afternoon,318,4,4,14,True,Android,2
