subscription_id,user_id,plan_type,start_date,end_date,status
1,1,Premium,2026-07-06,2026-11-06,Expired
2,6,Premium,2026-05-03,2026-10-08,Expired
3,15,Premium,2026-04-24,2026-09-05,Expired
4,18,Premium,2026-05-13,2026-06-18,Cancelled
5,19,Premium,2026-08-08,,Active
6,24,Premium,2026-01-03,,Active
7,26,Premium,2025-12-29,2026-03-27,Expired
8,29,Premium,2026-09-18,2026-12-29,Expired
9,33,Premium,2026-04-23,2026-06-01,Cancelled
10,34,Premium,2026-10-04,,Active
11,57,Premium,2025-12-02,,Active
12,66,Premium,2026-08-10,2026-11-28,Expired
13,70,Premium,2026-01-13,,Active
14,71,Premium,2025-12-24,,Active
15,74,Premium,2026-01-12,,Active
16,75,Premium,2026-07-08,2026-08-21,Expired
17,76,Premium,2026-03-04,2026-07-19,Expired
18,77,Premium,2026-09-24,2026-11-11,Expired
19,80,Premium,2025-12-30,2026-04-20,Expired
20,82,Premium,2026-02-02,2026-03-08,Cancelled
21,83,Premium,2026-04-01,,Active
22,87,Premium,2026-08-10,,Active
23,93,Premium,2026-06-19,,Active
24,94,Premium,2026-04-01,2026-08-14,Cancelled
25,103,Premium,2026-06-06,,Active
26,113,Premium,2026-04-29,2026-10-10,Cancelled
27,117,Premium,2026-01-09,,Active
28,118,Premium,2026-04-18,,Active
29,119,Premium,2026-03-26,,Active
30,121,Premium,2026-06-03,,Active
31,137,Premium,2025-10-01,2025-12-14,Expired
32,139,Premium,2026-07-14,2026-09-28,Cancelled
33,140,Premium,2026-01-01,2026-06-27,Cancelled
34,155,Premium,2025-12-31,2026-01-30,Expired
35,163,Premium,2025-12-22,2026-02-05,Cancelled
36,172,Premium,2026-05-24,,Active
37,173,Premium,2026-02-05,2026-04-27,Expired
38,180,Premium,2026-04-28,2026-06-19,Cancelled
39,184,Premium,2025-10-25,,Active
40,186,Premium,2025-12-21,2026-02-13,Expired
41,190,Premium,2026-03-31,2026-05-04,Expired
42,195,Premium,2026-02-08,2026-03-22,Expired
43,205,Premium,2026-02-01,2026-04-04,Cancelled
44,207,Premium,2026-03-27,,Active
45,214,Premium,2026-04-04,2026-09-24,Cancelled
46,217,Premium,2026-04-17,,Active
47,220,Premium,2026-03-06,2026-08-14,Cancelled
48,231,Premium,2025-09-02,,Active
49,240,Premium,2026-07-02,,Active
50,255,Premium,2026-09-17,,Active
51,260,Premium,2026-09-22,,Active
52,270,Premium,2025-09-19,2025-12-14,Expired
53,273,Premium,2026-06-13,,Active
54,274,Premium,2026-10-16,,Active
55,305,Premium,2025-10-14,2025-12-18,Expired
56,310,Premium,2026-06-13,,Active
57,319,Premium,2025-12-12,2026-01-27,Expired
58,323,Premium,2026-06-10,2026-10-25,Expired
59,326,Premium,2026-06-27,,Active
60,328,Premium,2026-08-27,2026-11-03,Expired
61,331,Premium,2026-09-02,,Active
62,337,Premium,2026-02-14,,Active
63,346,Premium,2026-07-11,2026-12-08,Cancelled
