user_id,signup_date,age_group,country,gender,acquisition_channel
1,2026-03-19,25-34,India,Male,Organic Search
2,2025-08-06,25-34,USA,Female,Organic Search
3,2025-11-05,25-34,India,Male,Social Media
4,2025-10-17,18-24,India,Female,Social Media
5,2026-04-23,18-24,USA,Female,Organic Search
6,2026-04-01,35-44,USA,Male,Organic Search
7,2026-06-19,45+,India,Male,Organic Search
8,2025-08-28,35-44,USA,Female,Referral
9,2025-12-29,25-34,Australia,Male,Social Media
10,2025-08-07,35-44,USA,Female,Social Media
11,2025-10-16,25-34,India,Male,Organic Search
12,2026-01-28,18-24,India,Male,Organic Search
13,2025-08-06,25-34,India,Male,Organic Search
14,2025-10-08,18-24,Australia,Female,Social Media
15,2026-03-22,18-24,UK,Male,Organic Search
16,2026-02-12,45+,USA,Female,Social Media
17,2025-10-16,35-44,UK,Male,Organic Search
18,2026-02-28,18-24,India,Male,Paid Ads
19,2026-05-20,35-44,India,Female,Organic Search
20,2025-07-30,35-44,India,Male,Organic Search
21,2026-05-18,25-34,India,Female,Referral
22,2026-04-09,25-34,India,Prefer not to say,Social Media
23,2025-11-29,18-24,India,Male,Social Media
24,2025-09-22,35-44,India,Male,Organic Search
25,2026-07-13,45+,India,Non-binary,Referral
26,2025-11-28,18-24,UK,Female,Social Media
27,2025-08-30,18-24,USA,Male,Social Media
28,2025-09-01,25-34,Australia,Female,Organic Search
29,2026-06-03,25-34,India,Female,Referral
30,2026-03-05,18-24,USA,Female,Organic Search
31,2026-05-19,35-44,India,Female,Social Media
32,2026-04-21,18-24,India,Male,Paid Ads
33,2026-02-09,35-44,Canada,Male,Organic Search
34,2026-07-19,35-44,Australia,Male,Social Media
35,2025-12-13,18-24,UK,Female,Organic Search
36,2026-02-15,25-34,India,Male,Referral
37,2026-05-27,25-34,India,Female,Referral
38,2026-03-11,18-24,India,Prefer not to say,Social Media
39,2026-06-08,25-34,India,Male,Organic Search
40,2026-02-24,18-24,USA,Male,Organic Search
41,2026-04-11,18-24,USA,Male,Paid Ads
42,2025-08-13,35-44,India,Male,Social Media
43,2025-10-19,18-24,India,Female,Social Media
44,2025-11-10,25-34,UK,Female,Organic Search
45,2025-08-26,18-24,India,Male,Social Media
46,2025-10-21,25-34,USA,Prefer not to say,Organic Search
47,2025-09-02,25-34,India,Female,Organic Search
48,2025-11-06,18-24,India,Male,Organic Search
49,2026-03-17,18-24,Australia,Male,Referral
50,2025-12-08,25-34,India,Prefer not to say,Referral
51,2025-12-10,45+,Australia,Female,Organic Search
52,2025-10-12,25-34,India,Male,Organic Search
53,2025-11-02,25-34,Australia,Male,Referral
54,2026-07-05,25-34,India,Female,Paid Ads
55,2026-03-22,25-34,UK,Male,Organic Search
56,2026-03-07,45+,USA,Female,Referral
57,2025-09-28,18-24,USA,Female,Referral
58,2026-04-20,18-24,Australia,Male,Organic Search
59,2025-09-25,25-34,USA,Male,Organic Search
60,2025-12-13,35-44,India,Female,Social Media
61,2026-07-25,25-34,USA,Female,Paid Ads
62,2026-03-19,18-24,UK,Male,Organic Search
63,2026-02-16,25-34,India,Male,Referral
64,2026-04-04,18-24,India,Prefer not to say,Paid Ads
65,2026-06-01,18-24,India,Male,Paid Ads
66,2026-05-08,35-44,Canada,Male,Organic Search
67,2025-10-19,35-44,UK,Female,Paid Ads
68,2025-08-08,25-34,India,Female,Organic Search
69,2025-11-20,25-34,Australia,Male,Organic Search
70,2025-11-02,18-24,USA,Male,Social Media
71,2025-10-13,25-34,India,Female,Organic Search
72,2026-07-08,25-34,Australia,Female,Organic Search
73,2026-06-13,25-34,India,Male,Referral
74,2025-11-20,25-34,India,Female,Social Media
75,2026-03-24,25-34,India,Male,Referral
76,2025-12-19,35-44,India,Female,Social Media
77,2026-06-27,18-24,India,Male,Referral
78,2026-01-11,35-44,Canada,Female,Organic Search
79,2025-11-01,18-24,India,Female,Referral
80,2025-10-26,25-34,USA,Male,Paid Ads
81,2026-02-18,35-44,Australia,Female,Referral
82,2025-11-01,18-24,UK,Male,Paid Ads
83,2026-02-26,35-44,Canada,Female,Organic Search
84,2026-06-21,35-44,India,Female,Referral
85,2025-12-21,18-24,Canada,Male,Organic Search
86,2025-10-16,35-44,India,Male,Organic Search
87,2026-07-28,18-24,Canada,Non-binary,Organic Search
88,2026-01-30,25-34,India,Prefer not to say,Social Media
89,2025-08-30,45+,India,Non-binary,Organic Search
90,2025-08-14,45+,India,Male,Social Media
91,2025-09-06,25-34,India,Female,Social Media
92,2026-03-14,25-34,USA,Male,Referral
93,2026-05-13,18-24,Australia,Female,Referral
94,2025-12-29,25-34,USA,Male,Organic Search
95,2025-08-20,25-34,India,Male,Referral
96,2025-12-14,25-34,India,Male,Social Media
97,2026-07-27,25-34,India,Male,Social Media
98,2026-02-06,45+,USA,Female,Social Media
99,2026-07-18,18-24,India,Male,Organic Search
100,2026-06-08,25-34,USA,Female,Social Media
101,2025-08-01,25-34,India,Male,Paid Ads
102,2026-04-17,35-44,India,Male,Social Media
103,2026-04-03,25-34,India,Female,Referral
104,2026-02-09,25-34,India,Male,Organic Search
105,2025-11-02,18-24,India,Female,Organic Search
106,2026-03-19,25-34,USA,Male,Social Media
107,2025-09-06,25-34,India,Female,Organic Search
108,2026-01-03,35-44,UK,Male,Social Media
109,2026-01-10,18-24,Australia,Female,Organic Search
110,2026-07-12,18-24,Canada,Male,Referral
111,2026-06-13,25-34,Australia,Female,Paid Ads
112,2025-11-01,35-44,USA,Female,Social Media
113,2026-01-27,35-44,India,Female,Referral
114,2025-10-01,25-34,India,Male,Social Media
115,2026-06-27,35-44,India,Female,Organic Search
116,2026-06-11,18-24,India,Male,Organic Search
117,2025-11-14,25-34,India,Male,Social Media
118,2026-03-18,25-34,India,Male,Social Media
119,2026-03-07,25-34,India,Male,Paid Ads
120,2025-09-21,25-34,USA,Female,Referral
121,2026-05-03,25-34,India,Male,Referral
122,2026-02-10,35-44,Australia,Male,Referral
123,2026-05-08,25-34,USA,Male,Organic Search
124,2026-02-07,25-34,India,Male,Social Media
125,2025-07-28,25-34,India,Male,Organic Search
126,2025-11-23,25-34,India,Male,Social Media
127,2025-08-04,18-24,USA,Male,Social Media
128,2026-07-03,18-24,India,Male,Organic Search
129,2026-06-14,35-44,India,Female,Referral
130,2026-05-28,18-24,India,Male,Social Media
131,2025-11-17,45+,India,Female,Referral
132,2025-08-18,25-34,UK,Female,Organic Search
133,2026-06-14,18-24,India,Male,Social Media
134,2026-07-09,25-34,India,Female,Referral
135,2025-08-28,18-24,USA,Female,Organic Search
136,2026-01-21,35-44,Australia,Male,Organic Search
137,2025-08-22,18-24,USA,Female,Organic Search
138,2026-05-02,25-34,India,Female,Social Media
139,2026-05-04,18-24,UK,Female,Social Media
140,2025-09-12,18-24,Australia,Female,Organic Search
141,2026-01-17,25-34,India,Female,Organic Search
142,2026-02-14,35-44,Canada,Male,Paid Ads
143,2025-11-02,25-34,Canada,Female,Social Media
144,2026-06-12,25-34,Australia,Male,Referral
145,2025-12-29,25-34,India,Male,Referral
146,2025-10-13,18-24,Canada,Female,Organic Search
147,2026-02-10,35-44,India,Male,Social Media
148,2026-04-21,25-34,India,Female,Organic Search
149,2025-10-09,18-24,UK,Male,Referral
150,2025-11-19,25-34,India,Male,Paid Ads
151,2026-07-27,18-24,UK,Female,Referral
152,2026-03-22,25-34,USA,Female,Referral
153,2026-01-04,18-24,India,Female,Organic Search
154,2026-02-02,25-34,India,Female,Social Media
155,2025-09-10,25-34,India,Female,Organic Search
156,2025-10-18,18-24,India,Male,Organic Search
157,2025-11-28,25-34,UK,Male,Organic Search
158,2026-02-28,25-34,UK,Non-binary,Social Media
159,2025-10-20,18-24,India,Male,Organic Search
160,2025-10-16,18-24,India,Female,Organic Search
161,2025-08-22,45+,USA,Female,Organic Search
162,2026-03-15,35-44,India,Female,Social Media
163,2025-10-19,25-34,India,Male,Organic Search
164,2026-06-24,45+,India,Female,Social Media
165,2026-06-07,18-24,USA,Male,Organic Search
166,2025-08-22,25-34,India,Prefer not to say,Organic Search
167,2025-10-23,35-44,USA,Female,Organic Search
168,2026-03-29,25-34,India,Male,Referral
169,2025-10-14,45+,India,Female,Social Media
170,2025-09-14,25-34,Australia,Male,Organic Search
171,2026-07-05,25-34,India,Male,Organic Search
172,2026-02-22,18-24,India,Female,Organic Search
173,2026-01-16,18-24,UK,Female,Social Media
174,2026-05-11,25-34,Australia,Female,Social Media
175,2026-05-19,25-34,Australia,Male,Social Media
176,2025-10-05,25-34,Australia,Female,Organic Search
177,2025-09-01,18-24,India,Female,Social Media
178,2026-01-01,18-24,India,Female,Social Media
179,2025-12-30,45+,India,Female,Organic Search
180,2026-01-14,18-24,India,Male,Organic Search
181,2026-04-20,18-24,Australia,Female,Social Media
182,2026-03-31,45+,Australia,Female,Organic Search
